sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
RJ;ANGRA DOS REIS;13;Vereador;12122;DEVANILTON JESUS DE SANTANA;SIRI BUGGY;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017287;;1699;;368;
RJ;ANGRA DOS REIS;13;Vereador;13345;RUDLEY DA SILVA SOARES;RUDLEY;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010544;;1699;;365;
RJ;ANGRA DOS REIS;13;Vereador;13513;GERSON DA FONSECA FAGUNDES;DEL;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010528;;1699;;364;
RJ;ANGRA DOS REIS;13;Vereador;11999;MICHEL GOMES DA SILVA;MICHEL DA TECNOSOLDA;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007489;;1699;;362;
RJ;ANGRA DOS REIS;13;Vereador;19111;OSANAN BATISTA DE SOUSA;OSANAN BATISTA;PTN;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007129;;1699;;356;
RJ;ANGRA DOS REIS;13;Vereador;55434;VALERIA SANTOS FONSECA JORGE;VALÉRIA DA SAÚDE;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024588;;1699;;353;
RJ;ANGRA DOS REIS;13;Vereador;31223;JORGE GOMES DA ROSA;JORGE ROSA;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007116;;1699;;348;
RJ;ANGRA DOS REIS;13;Vereador;40402;MOIZES DA CUNHA SOUZA;MOIZES CUNHA;PSB;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007128;;1699;;345;
RJ;ANGRA DOS REIS;13;Vereador;22001;VALCIR DE ALMEIDA CARNEIRO JUNIOR;ALMEIDA JR;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015641;;1699;;337;
RJ;ANGRA DOS REIS;13;Vereador;15611;PAULO ANTONIO CARDOZO CARDIA;PAULINHO GAUCHO;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015024;;1699;;330;
RJ;ANGRA DOS REIS;13;Vereador;12656;TELMA ROSA JERONIMO BRITO;TELMA BRITO;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017307;;1699;;329;
RJ;ANGRA DOS REIS;13;Vereador;65456;LUCIA CONDE RODRIGUES;LUCIA CONDE;PC do B;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007484;;1699;;325;
RJ;ANGRA DOS REIS;13;Vereador;12000;NIVALDO MARCELINO DE SOUZA;BALBOA;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017302;;1699;;304;
RJ;ANGRA DOS REIS;13;Vereador;15650;FRANCISCO FERREIRA GOMES;CHICO QUEBRA MOLA;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015013;;1699;;293;
RJ;ANGRA DOS REIS;13;Vereador;31123;JOSE CARLOS DA SILVA;JOSE CARLOS;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007118;;1699;;292;
RJ;ANGRA DOS REIS;13;Vereador;15156;THANIA MARIA MENESES;AMIGUINHA DE JESUS;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015032;;1699;;289;
RJ;ANGRA DOS REIS;13;Vereador;40200;JOSE DE ALMEIDA;ALMEIDA;PSB;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007119;;1699;;284;
RJ;ANGRA DOS REIS;13;Vereador;12522;WILSON MARQUES;WILSON MARQUES;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017309;;1699;;276;
RJ;ANGRA DOS REIS;13;Vereador;13044;MARCOS ANTONIO ALVES DE LIMA;MARQUINHOS BGL;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010541;;1699;;266;
RJ;ANGRA DOS REIS;13;Vereador;28123;JOSE ANDRE MOREIRA DO CARMO;ANDRÉ DO CARMO;PRTB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018313;;1699;;266;
RJ;ANGRA DOS REIS;13;Vereador;65565;SAIONARA NEVES MARTINS MACIEL;SARA DA EDUCAÇÃO;PC do B;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007495;;1699;;263;
RJ;ANGRA DOS REIS;13;Vereador;15999;MARILIS DA CONCEIÇÃO PEREIRA;MARILIS;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015022;;1699;;255;
RJ;ANGRA DOS REIS;13;Vereador;12010;ROBERTO SILVA CHAGAS;BEBETO CONTADOR;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017304;;1699;;253;
RJ;ANGRA DOS REIS;13;Vereador;31100;MARCELO VALMIR ALVES DE OLIVEIRA;MARCELO NANCY;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007125;;1699;;251;
RJ;ANGRA DOS REIS;13;Vereador;13313;ALBES RIBEIRO;ALBES RIBEIRO MESTRE ABUTRE;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010519;;1699;;247;
RJ;ANGRA DOS REIS;13;Vereador;44444;JORDANA CARNEIRO SALIM;JORDANA CARNEIRO;PRP;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011191;;1699;;218;
RJ;ANGRA DOS REIS;13;Vereador;13312;LILIAN SANTOS DE ARAUJO MEIRA;LILIAN MEIRA;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010536;;1699;;214;
RJ;ANGRA DOS REIS;13;Vereador;31222;EDUARDO CARDOSO GALANTE;EDUARDO GALANTE;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007113;;1699;;206;
RJ;ANGRA DOS REIS;13;Vereador;15601;ARQUILEU MOREIRA GOMES;ARQUILEU;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015008;;1699;;204;
RJ;ANGRA DOS REIS;13;Vereador;40123;PAULO SILVA;PAULINHO SILVA;PSB;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007130;;1699;;200;
RJ;ANGRA DOS REIS;13;Vereador;15159;RAFAEL MARIANO SILVA;RAFAEL MARIANO;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015027;;1699;;200;
RJ;ANGRA DOS REIS;13;Vereador;14123;MARIA DE LOURDES VASCONCELOS DE SOUZA;LOURDES;PTB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018318;;1699;;197;
RJ;ANGRA DOS REIS;13;Vereador;12123;CLAUDIO LOURENÇO FERREIRA;CLÁUDIO DO DOCE;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017285;;1699;;191;
RJ;ANGRA DOS REIS;13;Vereador;25013;WILIAM CESAR PIRES DE OLIVEIRA;WILIAM DA PORTEIRA;DEM;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011207;;1699;;177;
RJ;ANGRA DOS REIS;13;Vereador;23001;FABIANO DOS SANTOS FERREIRA;FABIANO DOS SANTOS FERREIRA;PPS;PPS / PT do B;1;Não Eleito;2013-02-22 18:23:33;58017;190000012831;;1699;;171;
RJ;ANGRA DOS REIS;13;Vereador;12610;MARCELO RIECHE ABAS;MARCELINHO NAGIB;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017294;;1699;;169;
RJ;ANGRA DOS REIS;13;Vereador;11510;ELIZABETH MEIRA CARDOSO MEDEIROS;MISSIONÁRIA BETH DA SAUDE;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007476;;1699;;168;
RJ;ANGRA DOS REIS;13;Vereador;15678;PAULO SÉRGIO DINIZ;PAULO TENTADO;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015025;;1699;;164;
RJ;ANGRA DOS REIS;13;Vereador;70123;ROBSON TAVARES;PSIU ROBSON TAVARES;PT do B;PPS / PT do B;1;Não Eleito;2013-02-22 18:23:33;58017;190000012846;;1699;;161;
RJ;ANGRA DOS REIS;13;Vereador;11605;ANTONIO FONSECA;TONINHO AUTO PEÇAS;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007471;;1699;;159;
RJ;ANGRA DOS REIS;13;Vereador;43999;IVAN MARCELO NEVES;IVAN MARCELO;PV;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017290;;1699;;157;
RJ;ANGRA DOS REIS;13;Vereador;11211;NORBERTO SILVESTRE GOMES;BATALHA;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007493;;1699;;152;
RJ;ANGRA DOS REIS;13;Vereador;15111;LIVIA SILVA OLIVEIRA;LIVIA OLIVEIRA;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015020;;1699;;149;
RJ;ANGRA DOS REIS;13;Vereador;22113;ALEX SANDRO DE MELO BATISTA;LELECO DO MARINAS;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000028280;;1699;;148;
RJ;ANGRA DOS REIS;13;Vereador;22222;ROSANGELA PEREIRA NOVAIS;ROSANGELA NOVAIS;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015637;;1699;;145;
RJ;ANGRA DOS REIS;13;Vereador;15777;PAULO SÉRGIO MARTINS;PAULO SÉRGIO;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015026;;1699;;144;
RJ;ANGRA DOS REIS;13;Vereador;70777;MARCIO VINICIOS DE SOUZA;MARCIINHO DA OFICINA;PT do B;PPS / PT do B;1;Não Eleito;2013-02-22 18:23:33;58017;190000012838;;1699;;141;
RJ;ANGRA DOS REIS;13;Vereador;31333;MAURO MIGUEL COSME LISBOA;MAURINHO;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007127;;1699;;135;
RJ;ANGRA DOS REIS;13;Vereador;25613;MARIA AMERICA ALMEIDA CARNEIRO CHUENGUE;AMERICA CARNEIRO;DEM;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011197;;1699;;130;
RJ;ANGRA DOS REIS;13;Vereador;45151;JOSE PEREIRA DOS SANTOS;BAIXINHO FIM DE NOITE;PSDB;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011192;;1699;;127;
RJ;ANGRA DOS REIS;13;Vereador;45000;SEBASTIÃO EDSON TENORIO;EDSON KAKO;PSDB;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011204;;1699;;127;
RJ;ANGRA DOS REIS;13;Vereador;14605;HERMES DO CARMO COUTO;HERMINHO;PTB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018310;;1699;;123;
RJ;ANGRA DOS REIS;13;Vereador;13134;LUCIA DE FATIMA HONORATO;LUCIA HONORATO;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010537;;1699;;123;
RJ;ANGRA DOS REIS;13;Vereador;43123;VALNEI ALBINO MOREIRA;VALNEI DO BANCO;PV;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017308;;1699;;122;
RJ;ANGRA DOS REIS;13;Vereador;25222;RENATO ALCANTARA DA FONSECA;RENATO DA CAPUEIRA;DEM;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011200;;1699;;118;
RJ;ANGRA DOS REIS;13;Vereador;65123;MARIO SERGIO GOMES;SERGIO MARINHEIRO;PC do B;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007487;;1699;;117;
RJ;ANGRA DOS REIS;13;Vereador;11125;ODORICO CONCEIÇÃO MAIA DE OLIVEIRA;ODORICO MAIA;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007494;;1699;;115;
RJ;ANGRA DOS REIS;13;Vereador;13778;JOÃO ORESTES INDA NETO;JOÃO ORESTES;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010534;;1699;;111;
RJ;ANGRA DOS REIS;13;Vereador;65555;NILO SERGIO DO NASCIMENTO;NILO SERGIO;PC do B;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007491;;1699;;111;
RJ;ANGRA DOS REIS;13;Vereador;28456;MILTON LUIS LOPES DAS DORES;PASTOR MILTON;PRTB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018321;;1699;;108;
