sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
RJ;ANGRA DOS REIS;11;Prefeito;13;MARIA DA CONCEIÇÃO CALDAS RABHA;CONCEIÇÃO;PT;PDT / PT / PTN / PPS / DEM / PSDC / PHS / PTC / PSB / PV / PRP / PSDB / PPL / PT do B;1;Eleito;2013-02-22 18:25:46;58017;190000011533;;1699;;47100;
RJ;ANGRA DOS REIS;11;Prefeito;15;FERNANDO ANTÔNIO CECILIANO JORDÃO;FERNANDO JORDÃO;PMDB;PRB / PP / PTB / PMDB / PSL / PSC / PR / PRTB / PSD / PC do B;1;Não Eleito;2013-02-22 18:25:46;58017;190000015006;;1699;;42750;
RJ;ANGRA DOS REIS;13;Vereador;15123;JORGE EDUARDO DE BRITTO RABHA;JORGE EDUARDO MASCOTE;PMDB;PMDB / PSC;1;Eleito;2013-02-22 18:23:33;58017;190000015017;;1699;;3462;
RJ;ANGRA DOS REIS;13;Vereador;13123;EDUARDO DA SILVA GODINHO;EDUARDO GODINHO;PT;PT / PPL;1;Eleito;2013-02-22 18:23:33;58017;190000010523;;1699;;2622;
RJ;ANGRA DOS REIS;13;Vereador;65655;JOSE ANTONIO AZEVEDO GOMES;DR,JOSE ANTONIO;PC do B;PP / PC do B;1;Eleito;2013-02-22 18:23:33;58017;190000007480;;1699;;2321;
RJ;ANGRA DOS REIS;13;Vereador;15612;CARLOS AUGUSTO PINHEIRO;CARLINHOS SANTO ANTONIO;PMDB;PMDB / PSC;1;Eleito;2013-02-22 18:23:33;58017;190000015009;;1699;;2194;
RJ;ANGRA DOS REIS;13;Vereador;22190;THIMOTEO CAVALCANTI ALBUQUERQUE DE SA;SARGENTO THIMOTEO;PR;PR;1;Eleito;2013-02-22 18:23:33;58017;190000015640;;1699;;2168;
RJ;ANGRA DOS REIS;13;Vereador;22007;LUIS CLAUDIO PEREIRA DAS DORES;CLAUDINHO;PR;PR;1;Eleito;2013-02-22 18:23:33;58017;190000015631;;1699;;1865;
RJ;ANGRA DOS REIS;13;Vereador;55321;CASSIA PEREIRA CALDELLAS;DRA, CASSIA;PSD;PSL / PSD;1;Eleito;2013-02-22 18:23:33;58017;190000024571;;1699;;1850;
RJ;ANGRA DOS REIS;13;Vereador;22111;SERGIO RICARDO GAMA;KAMU;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015638;;1699;;1767;
RJ;ANGRA DOS REIS;13;Vereador;13789;MARIA DO CARMO AGUIAR;LIA;PT;PT / PPL;1;Eleito;2013-02-22 18:23:33;58017;190000010542;;1699;;1684;
RJ;ANGRA DOS REIS;13;Vereador;15660;MARCO AURÉLIO VARGAS FRANCISCO;MARCO AURÉLIO;PMDB;PMDB / PSC;1;Eleito;2013-02-22 18:23:33;58017;190000015021;;1699;;1574;
RJ;ANGRA DOS REIS;13;Vereador;22622;JOSE MARIA JUSTINO;JOSE MARIA JUSTINO;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015629;;1699;;1573;
RJ;ANGRA DOS REIS;13;Vereador;55433;CLEBER ANTONIO DA SILVA;CHAPINHA DO SINDICATO;PSD;PSL / PSD;1;Eleito;2013-02-22 18:23:33;58017;190000024572;;1699;;1504;
RJ;ANGRA DOS REIS;13;Vereador;65321;HELIO SEVERINO DE AZEVEDO;HELINHO DO SINDICATO;PC do B;PP / PC do B;1;Eleito;2013-02-22 18:23:33;58017;190000007478;;1699;;1492;
RJ;ANGRA DOS REIS;13;Vereador;13300;FABIO MACEDO DIAS;FABIO MACEDO;PT;PT / PPL;1;Eleito;2013-02-22 18:23:33;58017;190000010526;;1699;;1454;
RJ;ANGRA DOS REIS;13;Vereador;22789;FLAVIO ARAUJO DOS SANTOS;FLAVINHO;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015625;;1699;;1446;
RJ;ANGRA DOS REIS;13;Vereador;13633;ILSON PEIXOTO MEDEIROS DA SILVA;DR, ILSON PEIXOTO;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010531;;1699;;1322;
RJ;ANGRA DOS REIS;13;Vereador;15555;LEANDRO DA SILVA OLIVEIRA;LEO DA MARMORARIA;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015019;;1699;;1312;
RJ;ANGRA DOS REIS;13;Vereador;55365;JANE ROSELI VEIGA;JANE VEIGA;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024576;;1699;;1222;
RJ;ANGRA DOS REIS;13;Vereador;31220;MANOEL CRUZ PARENTE;PARENTE;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007124;;1699;;1213;
RJ;ANGRA DOS REIS;13;Vereador;22122;LUIZ GONÇALVES DA SILVA NETTO;LUIZ BAMBU;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015632;;1699;;1118;
RJ;ANGRA DOS REIS;13;Vereador;22606;ALTINO CARLOS DE OLIVEIRA ROSA;ALTINO;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015624;;1699;;1033;
RJ;ANGRA DOS REIS;13;Vereador;10456;JAIRO MAGNO DE CASTRO;JAIRO DO POSTO DE SAÚDE;PRB;PRB / PTB / PRTB;1;Eleito;2013-02-22 18:23:33;58017;190000018311;;1699;;977;
RJ;ANGRA DOS REIS;13;Vereador;13000;AFIF ELIE AFIF;AFIF NAIM;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010518;;1699;;939;
RJ;ANGRA DOS REIS;13;Vereador;12011;JAN CARLOS DE ALMEIDA;JEAN;PDT;PTC / PDT / PV;1;Eleito;2013-02-22 18:23:33;58017;190000017291;;1699;;938;
RJ;ANGRA DOS REIS;13;Vereador;11611;JOSE ESSIOMAR GOMES DA SILVA;ESSIOMAR;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007481;;1699;;918;
RJ;ANGRA DOS REIS;13;Vereador;55111;FRANCISCO CANINDE DA COSTA RAIMUNDO;CANINDÉ DO SOCIAL;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024574;;1699;;888;
RJ;ANGRA DOS REIS;13;Vereador;13456;ANTONIO EDINEIDE CORDEIRO E SILVA;CORDEIRO;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010521;;1699;;884;
RJ;ANGRA DOS REIS;13;Vereador;43456;CARLOS ALBERTO GIBRAIL ROCHA FILHO;KAKÁ;PV;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017284;;1699;;876;
RJ;ANGRA DOS REIS;13;Vereador;12789;LENIEL JOSÉ ONÓRIO;PASTOR LENIEL;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017292;;1699;;830;
RJ;ANGRA DOS REIS;13;Vereador;15606;ELIAS JOSÉ RABHA;FIOTE;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015012;;1699;;814;
RJ;ANGRA DOS REIS;13;Vereador;12100;MOISES ALTIVA FERREIRA;MOISES FERREIRA;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017301;;1699;;811;
RJ;ANGRA DOS REIS;13;Vereador;65222;GEDAI DE OLIVEIRA SOUSA;GEDAI;PC do B;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007477;;1699;;808;
RJ;ANGRA DOS REIS;13;Vereador;14633;ARY BERNARDO DA SILVA FILHO;ARY BERNARDO;PTB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018303;;1699;;805;
RJ;ANGRA DOS REIS;13;Vereador;55789;JOSE AUGUSTO DE ARAUJO VIEIRA;ZE AUGUSTO;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024577;;1699;;795;
RJ;ANGRA DOS REIS;13;Vereador;11333;BENEDITO PERREIRA DA SILVA;DITO DO AJAX;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007472;;1699;;793;
RJ;ANGRA DOS REIS;13;Vereador;22614;PEDRO MANOEL DA CUNHA MIGUEL;PEDRO MIGUEL;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015635;;1699;;791;
RJ;ANGRA DOS REIS;13;Vereador;55123;AGUILAR RIBEIRO DA SILVA;AGUILAR RIBEIRO;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024569;;1699;;758;
RJ;ANGRA DOS REIS;13;Vereador;10500;ARILSON FORSTER INOCENCIO;ARILSON FORSTER;PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018302;;1699;;748;
RJ;ANGRA DOS REIS;13;Vereador;10000;LAIR DOS SANTOS PEREIRA;NEGUINHO;PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018315;;1699;;743;
RJ;ANGRA DOS REIS;13;Vereador;15789;CRISTIANE BRASIL DA SILVA;TITI BRASIL;PMDB;PMDB / PSC;1;Suplente;2013-02-22 18:23:33;58017;190000015011;;1699;;722;
RJ;ANGRA DOS REIS;13;Vereador;11111;JOSE MARCELO GOMES DA SILVA;MARCELO GOMES INDIO;PP;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007482;;1699;;718;
RJ;ANGRA DOS REIS;13;Vereador;55655;EDSON CARLOS RODRIGUES;EDINHO;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024573;;1699;;707;
RJ;ANGRA DOS REIS;13;Vereador;65165;ANDRE PORTO PEREIRA;DEDÉ;PC do B;PP / PC do B;1;Suplente;2013-02-22 18:23:33;58017;190000007470;;1699;;688;
RJ;ANGRA DOS REIS;13;Vereador;31234;JOSE MANOEL DE OLIVEIRA;ZUZA;PHS;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007120;;1699;;615;
RJ;ANGRA DOS REIS;13;Vereador;13011;LUIS GUSTAVO DE CARVALHO SOARES;GUSTAVO DO ESPORTE;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010538;;1699;;608;
RJ;ANGRA DOS REIS;13;Vereador;10222;PABLO DAMASIO DO ESPIRITO SANTO;PABLO DO PÃO;PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018322;;1699;;591;
RJ;ANGRA DOS REIS;13;Vereador;27007;WALACE ALVES DO NASCIMENTO;WALACE ALVES;PSDC;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011206;;1699;;507;
RJ;ANGRA DOS REIS;13;Vereador;14111;EDER DO ROSARIO FREIRE;EDER FREIRE;PTB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018309;;1699;;507;
RJ;ANGRA DOS REIS;13;Vereador;10700;ULISSES PEREIRA DE SOUZA;DR, ULISSES;PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018324;;1699;;499;
RJ;ANGRA DOS REIS;13;Vereador;13130;INAIE ICARAI GUEDES CESAR;GUEDES;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010532;;1699;;479;
RJ;ANGRA DOS REIS;13;Vereador;10345;JOSUE FRANCISCO LOTÉRIO;JOSUÉ LOTÉRIO;PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018314;;1699;;457;
RJ;ANGRA DOS REIS;13;Vereador;19007;DIEGO VICENTE DA SILVA;DIEGO VICENTE;PTN;PTN / PHS / PSB;1;Não Eleito;2013-02-22 18:23:33;58017;190000007112;;1699;;453;
RJ;ANGRA DOS REIS;13;Vereador;12345;ROGERIO SALVADOR DE SOUZA;ROGERIO SALVADOR MOTORISTA;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017305;;1699;;446;
RJ;ANGRA DOS REIS;13;Vereador;12012;MARCO AURELIO BRAGA MARTINS;DIRETOR;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017296;;1699;;445;
RJ;ANGRA DOS REIS;13;Vereador;12199;MARCOS AURELIO COELHO;MARCOS COELHO - MARQUINHO;PDT;PTC / PDT / PV;1;Suplente;2013-02-22 18:23:33;58017;190000017297;;1699;;440;
RJ;ANGRA DOS REIS;13;Vereador;55606;MAURO JOSE CAMPOS FRANCISCO;MAURO DA GLORIA;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024582;;1699;;436;
RJ;ANGRA DOS REIS;13;Vereador;22022;JONATAS PEREIRA TAVEIRA;JONATHAN STOCKLER;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015628;;1699;;418;
RJ;ANGRA DOS REIS;13;Vereador;13713;JULIO MAGNO RAMOS;JULIO MAGNO;PT;PT / PPL;1;Suplente;2013-02-22 18:23:33;58017;190000010535;;1699;;413;
RJ;ANGRA DOS REIS;13;Vereador;23199;MARCO ANTONIO DE OLIVEIRA SANTOS;MARCO OLIVEIRA SALVANDO VIDAS;PPS;PPS / PT do B;1;Não Eleito;2013-02-22 18:23:33;58017;190000012839;;1699;;412;
RJ;ANGRA DOS REIS;13;Vereador;10200;DAVID LOURENÇO DE BARROS;DAVID LOURENÇO (PAÇOCA);PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018307;;1699;;407;
RJ;ANGRA DOS REIS;13;Vereador;22193;RODRIGO DE OLIVEIRA RODRIGUES;RODRIGO BOMBEIRO;PR;PR;1;Suplente;2013-02-22 18:23:33;58017;190000015636;;1699;;394;
RJ;ANGRA DOS REIS;13;Vereador;55678;CARLOS MAGNO IGIDIO;MAGUINHO;PSD;PSL / PSD;1;Suplente;2013-02-22 18:23:33;58017;190000024570;;1699;;391;
RJ;ANGRA DOS REIS;13;Vereador;25625;ANDERSON LUIS RIBEIRO;ANDERSON MORCEGUINHO;DEM;DEM / PSDC / PRP / PSDB;1;Não Eleito;2013-02-22 18:23:33;58017;190000011184;;1699;;373;
RJ;ANGRA DOS REIS;13;Vereador;10615;LUIZ CARLOS LOPES DE ARAUJO;LUIZINHO;PRB;PRB / PTB / PRTB;1;Suplente;2013-02-22 18:23:33;58017;190000018316;;1699;;372;
