Cod Municipio;Municipio;Qtd Locais SUM;Qtd Secoes SUM;Qtd Eleitores SUM
58017;ANGRA DOS REIS;71;354;117456
58181;APERIBÉ;7;30;8764
58033;ARARUAMA;46;257;88251
58220;AREAL;7;30;9143
58408;ARMAÇÃO DOS BÚZIOS;9;69;21953
59277;ARRAIAL DO CABO;12;83;26585
58050;BARRA DO PIRAÍ;34;238;70972
58076;BARRA MANSA;68;427;129805
58041;BELFORD ROXO;104;891;314063
58092;BOM JARDIM;24;78;21015
58114;BOM JESUS DO ITABAPOANA;21;104;27934
58130;CABO FRIO;59;387;132576
58157;CACHOEIRAS DE MACACU;37;140;43545
58173;CAMBUCI;17;46;11213
58190;CAMPOS DOS GOYTACAZES;184;1065;344366
58211;CANTAGALO;18;71;16475
58300;CARAPEBUS;5;33;11203
58068;CARDOSO MOREIRA;14;51;11093
58238;CARMO;17;54;13717
58254;CASIMIRO DE ABREU;17;94;28366
58165;COMENDADOR LEVY GASPARIAN;11;26;7033
58270;CONCEIÇÃO DE MACABU;20;67;16839
58297;CORDEIRO;12;52;16200
58319;DUAS BARRAS;9;34;9016
58335;DUQUE DE CAXIAS;231;1749;607663
58351;ENGENHEIRO PAULO DE FRONTIN;10;38;9512
58106;GUAPIMIRIM;30;121;37351
58262;IGUABA GRANDE;13;68;20836
58378;ITABORAÍ;59;446;158178
58394;ITAGUAÍ;34;255;84235
59293;ITALVA;13;47;10925
58416;ITAOCARA;16;82;18823
58432;ITAPERUNA;45;258;74321
58440;ITATIAIA;11;73;22876
58149;JAPERI;28;203;68002
58459;LAJE DO MURIAÉ;5;22;7016
58475;MACAÉ;62;421;144044
58386;MACUCO;6;24;6564
58491;MAGÉ;74;535;168573
58513;MANGARATIBA;16;92;29745
58530;MARICÁ;36;237;84582
58556;MENDES;14;59;14818
58467;MESQUITA;52;366;130604
58572;MIGUEL PEREIRA;22;73;21940
58599;MIRACEMA;9;71;22179
58610;NATIVIDADE;7;40;11721
58637;NILÓPOLIS;49;436;126547
58653;NITERÓI;139;1176;382021
58670;NOVA FRIBURGO;88;491;147115
58696;NOVA IGUAÇU;243;1637;561391
58718;PARACAMBI;15;102;32373
58734;PARAÍBA DO SUL;33;124;33099
58750;PARATY;29;91;25794
59315;PATY DO ALFERES;19;69;21889
58777;PETRÓPOLIS;171;781;241400
58246;PINHEIRAL;9;49;16278
58793;PIRAÍ;19;79;20228
58815;PORCIÚNCULA;17;47;14045
58327;PORTO REAL;7;44;14220
58025;QUATIS;7;29;9861
58122;QUEIMADOS;42;315;100513
58009;QUISSAMÃ;8;49;16546
58831;RESENDE;53;295;87140
58858;RIO BONITO;22;128;43942
58874;RIO CLARO;11;49;14930
58890;RIO DAS FLORES;6;23;7496
58203;RIO DAS OSTRAS;32;198;71538
60011;RIO DE JANEIRO;1477;11313;4719607
58912;SANTA MARIA MADALENA;13;34;8342
58939;SANTO ANTÔNIO DE PÁDUA;40;122;32402
58955;SÃO FIDÉLIS;36;133;30211
58289;SÃO FRANCISCO DE ITABAPOANA;36;128;35617
58971;SÃO GONÇALO;159;1878;665326
58998;SÃO JOÃO DA BARRA;21;100;32192
59013;SÃO JOÃO DE MERITI;137;1068;357963
58343;SÃO JOSÉ DE UBÁ;6;22;6870
59331;SÃO JOSÉ DO VALE DO RIO PRETO;10;51;15303
59030;SÃO PEDRO DA ALDEIA;39;206;57705
59056;SÃO SEBASTIÃO DO ALTO;9;30;7613
59072;SAPUCAIA;15;55;16373
59099;SAQUAREMA;38;189;60359
58424;SEROPÉDICA;16;149;52873
59110;SILVA JARDIM;15;58;16838
59137;SUMIDOURO;15;59;13284
58360;TANGUÁ;7;63;22839
59153;TERESÓPOLIS;80;388;121891
59170;TRAJANO DE MORAIS;12;37;8931
59196;TRÊS RIOS;56;207;59328
59218;VALENÇA;57;204;57459
58084;VARRE-SAI;3;22;7696
59234;VASSOURAS;28;109;28892
59250;VOLTA REDONDA;75;629;216938
