sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
RJ;ANGRA DOS REIS;11;Prefeito;15;FERNANDO ANTÔNIO CECILIANO JORDÃO;FERNANDO JORDÃO;PMDB;PMDB / PP / SD / PMN / PTN / PROS / PTB / PSB / PSC / PEN / PHS / PPL / PSL / PMB;1;Eleito;2017-03-14 14:27:09;58017;190000007860;;2;;75517;
RJ;ANGRA DOS REIS;11;Prefeito;10;CHRISTIANO COSTA VILELA ALVERNAZ;DR, CHRISTIANO ALVERNAZ;PRB;PRB;1;Não Eleito;2017-03-14 14:27:09;58017;190000014698;;2;;8226;
RJ;ANGRA DOS REIS;11;Prefeito;45;JOSE ANTONIO AZEVEDO GOMES;JOSE ANTONIO;PSDB;PSDB / PSDC / PRTB;1;Não Eleito;2017-03-14 14:27:09;58017;190000012682;;2;;2896;
RJ;ANGRA DOS REIS;11;Prefeito;13;ARISTIDES JOSE DA CUNHA;ARISTIDES;PT;PT / PV;1;Não Eleito;2017-03-14 14:27:09;58017;190000008427;;2;;2228;
RJ;ANGRA DOS REIS;11;Prefeito;23;YWALTER DA SILVA GUSMÃO JUNIOR;DR GUSMÃO;PPS;PPS;1;Não Eleito;2017-03-14 14:27:09;58017;190000005223;;2;;1614;
RJ;ANGRA DOS REIS;11;Prefeito;25;JOÃO MASSAD NETO;JOÃO MASSAD;DEM;DEM / PRP;1;Não Eleito;2017-03-14 14:27:09;58017;190000012560;;2;;1203;
RJ;ANGRA DOS REIS;11;Prefeito;50;ROMULO OLIVEIRA CAVALCANTI;ENGENHEIRO ROMULO PREFEITURA;PSOL;PSOL;1;Não Eleito;2017-03-14 14:27:09;58017;190000022363;;2;;351;
RJ;ANGRA DOS REIS;13;Vereador;15777;JOSÉ AUGUSTO DE ARAUJO VIEIRA;ZÉ AUGUSTO;PMDB;PMDB;1;Eleito;2017-03-14 14:06:37;58017;190000007880;;2;;2739;
RJ;ANGRA DOS REIS;13;Vereador;15111;FRANCISCO CANINDÉ DA COSTA RAIMUNDO;CANINDÉ DO SOCIAL;PMDB;PMDB;1;Eleito;2017-03-14 14:06:37;58017;190000007864;;2;;2139;
RJ;ANGRA DOS REIS;13;Vereador;12012;MARCOS AURELIO COELHO;MARQUINHO COELHO;PDT;PDT;1;Eleito;2017-03-14 14:06:37;58017;190000017320;;2;;1834;
RJ;ANGRA DOS REIS;13;Vereador;12612;MARCO ANTONIO BRAGA DA SILVA PINHEIRO;MARCO SANTO ANTONIO;PDT;PDT;1;Eleito;2017-03-14 14:06:37;58017;190000017319;;2;;1821;
RJ;ANGRA DOS REIS;13;Vereador;22222;GEDAI DE OLIVEIRA SOUSA;GEDAI;PR;PR;1;Eleito;2017-03-14 14:06:37;58017;190000012985;;2;;1758;
RJ;ANGRA DOS REIS;13;Vereador;20555;LEANDRO DA SILVA OLIVEIRA;LÉO DA MARMORARIA;PSC;PSC;1;Eleito;2017-03-14 14:06:37;58017;190000005164;;2;;1680;
RJ;ANGRA DOS REIS;13;Vereador;15615;JANE ROSELI VEIGA;JANE VEIGA;PMDB;PMDB;1;Eleito;2017-03-14 14:06:37;58017;190000007866;;2;;1515;
RJ;ANGRA DOS REIS;13;Vereador;20789;FLAVIO ARAUJO DOS SANTOS;FLAVINHO;PSC;PSC;1;Eleito;2017-03-14 14:06:37;58017;190000005174;;2;;1479;
RJ;ANGRA DOS REIS;13;Vereador;40111;SERGIO RICARDO GAMA;KAMU;PSB;PSB;1;Eleito;2017-03-14 14:06:37;58017;190000005225;;2;;1474;
RJ;ANGRA DOS REIS;13;Vereador;22190;THIMOTEO CAVALCANTI ALBUQUERQUE DE SÁ;SARGENTO THIMOTEO;PR;PR;1;Eleito;2017-03-14 14:06:37;58017;190000012979;;2;;1433;
RJ;ANGRA DOS REIS;13;Vereador;40123;HELIO SEVERINO DE AZEVEDO;HELINHO DO SINDICATO;PSB;PSB;1;Eleito;2017-03-14 14:06:37;58017;190000005228;;2;;1395;
RJ;ANGRA DOS REIS;13;Vereador;54433;CLEBER ANTONIO DA SILVA;CHAPINHA DO SINDICATO;PPL;PHS / PEN / PPL;1;Não Eleito;2017-03-14 14:06:37;58017;190000011197;;2;;1341;
RJ;ANGRA DOS REIS;13;Vereador;12011;JAN CARLOS DE ALMEIDA;JEAN;PDT;PDT;1;Eleito;2017-03-14 14:06:37;58017;190000017312;;2;;1339;
RJ;ANGRA DOS REIS;13;Vereador;15123;LUCIANA FERREIRA DE OLIVEIRA VALVERDE;LUCIANA VALVERDE;PMDB;PMDB;1;Eleito;2017-03-14 14:06:37;58017;190000007870;;2;;1271;
RJ;ANGRA DOS REIS;13;Vereador;10000;CIRDILEI JERONIMO;BRANCO;PRB;PRB;1;Não Eleito;2017-03-14 14:06:37;58017;190000014692;;2;;1181;
RJ;ANGRA DOS REIS;13;Vereador;20606;MARCO AURELIO VARGAS FRANCISCO;MARCO AURELIO;PSC;PSC;1;Suplente;2017-03-14 14:06:37;58017;190000005162;;2;;1170;
RJ;ANGRA DOS REIS;13;Vereador;20000;RUBENS ROCHA DE ANDRADE;RUBINHO METALURGICO;PSC;PSC;1;Suplente;2017-03-14 14:06:37;58017;190000005181;;2;;1117;
